Ticker,Name,pegRatio,marketCap,freeCashflow,sharesOutstanding,currentPrice,percentHeldInsiders
MSFT,Microsoft Corporation,2.25,2927344222208,51013873664,7432260096,393.87,57.38329740047399,0.00055
AAPL,Apple Inc.,4.52,2916578230272,82179997696,15461900288,188.63,35.49012330365884,0.00072999997
AMZN,"Amazon.com, Inc.",0.65,1586268995584,36392374272,10334000128,153.5,43.58795081057579,0.09623
NVDA,NVIDIA Corporation,0.44,1410542993408,14114499584,2470000128,571.07,99.9357408813793,0.040430002
GOOGL,Alphabet Inc.,1.32,1804447514624,70757122048,5918000128,143.48,12.000412591532767,0.0027599998
META,"Meta Platforms, Inc.",0.73,966601474048,29440124928,2219610112,376.13,28.357962252821046,0.0017499999
GOOG,Alphabet Inc.,1.33,1804444106752,70757122048,5725000192,144.99,11.731225830171288,0.00017000001
BRK.B,,,,,,,null,
TSLA,"Tesla, Inc.",40.25,673549582336,1612000000,3178919936,211.88,417.8347121834243,0.13023
LLY,Eli Lilly and Company,3.31,591750496256,3904649984,949307008,623.35,151.55020958641705,0.00154
UNH,UnitedHealth Group Incorporated,1.49,477575806976,18097000448,924924992,516.34,26.38977502053715,0.00239
JPM,JP Morgan Chase & Co.,3.51,481617084416,,2876699904,167.42,null,0.00892
AVGO,Broadcom Inc.,1.72,535511171072,13452999680,468140992,1143.91,39.80607856215455,0.019960001
V,Visa Inc.,1.94,551078658048,16716874752,1582520064,268.14,25.38374763561547,0.00107
XOM,Exxon Mobil Corporation,-0.98,386887352320,20689000448,3996770048,96.8,18.700146564296695,0.00057
JNJ,Johnson & Johnson,3.11,388077649920,21167624192,2407280128,161.21,18.333546831464837,0.00092
HD,"Home Depot, Inc. (The)",13.11,356204281856,14708625408,995262016,357.9,24.21737352374621,0.00075999997
PG,Procter & Gamble Company (The),3.09,349149691904,13161624576,2356890112,148.14,26.52785749780073,0.00093000004
MA,Mastercard Incorporated,1.69,403918880768,10093625344,930438016,430.72,39.70409526739019,0.10551
MRK,"Merck & Company, Inc.",8.41,300382748672,5678125056,2534020096,118.54,52.901748238607304,0.00065
COST,Costco Wholesale Corporation,4.97,304978690048,6952750080,443728000,687.31,43.864469191448336,0.0019699999
ABBV,AbbVie Inc.,-3.51,288312688640,24065499136,1765539968,163.3,11.98033230663843,0.0013400001
ADBE,Adobe Inc.,2.32,268352405504,6610625024,452000000,593.7,40.59410404095551,0.0029199999
CRM,"Salesforce, Inc.",1.24,265677275136,11521625088,968000000,274.46,23.059011031066103,0.0291
CVX,Chevron Corporation,-2.18,267720720384,18233624576,1882050048,141.82,14.63846843477754,0.00028
AMD,"Advanced Micro Devices, Inc.",4.7,262793379840,2758500096,1615500032,162.67,95.26676855531275,0.00496
KO,Coca-Cola Company (The),3.6,260096344064,6536249856,4323409920,60.16,39.79290059550624,0.0066299997
WMT,Walmart Inc.,3.0,439479631872,10398624768,2692229888,163.24,42.263243142453206,0.47204
PEP,"Pepsico, Inc.",2.55,229835341824,6286125056,1374860032,167.17,36.56232567789373,0.0015199999
BAC,Bank of America Corporation,2.57,250522943488,,7895459840,31.73,null,0.00106
ACN,Accenture plc,3.73,225434959872,8817090560,626992000,359.55,25.56795487875765,0.0015
NFLX,"Netflix, Inc.",1.62,212410482688,18025701376,437680000,485.31,11.783756779794995,0.01364
MCD,McDonald's Corporation,2.53,213511667712,6423187456,725342016,294.36,33.24076672093937,0.0020299999
TMO,Thermo Fisher Scientific Inc,11.9,210348638208,4634500096,386372000,544.42,45.38755850313828,0.00179
CSCO,"Cisco Systems, Inc.",2.03,206221606912,16343000064,4063480064,50.75,12.61834500645083,0.00062
INTC,Intel Corporation,4.56,197055840256,-4475250176,4216000000,46.74,-44.03236294068581,0.00057
ABT,Abbott Laboratories,-12.83,197945556992,4627250176,1736060032,114.02,42.7782283904418,0.0055199997
LIN,Linde plc,2.41,197762383872,3832875008,484889984,407.85,51.596355102013284,0.00185
WFC,Wells Fargo & Company,1.47,167131054080,,3598860032,46.44,null,0.00063
CMCSA,Comcast Corporation,1.14,171226906624,11925125120,4015640064,42.54,14.324824821843043,0.0073400005
INTU,Intuit Inc.,2.48,171141660672,4290500096,279936000,611.36,39.888513956579104,0.02871
ORCL,Oracle Corporation,1.8,298807590912,10336000000,2748920064,108.7,28.90940508482972,0.41959998
DIS,Walt Disney Company (The),1.24,168773812224,5724375040,1830320000,92.21,29.48335949700458,0.00058
AMGN,Amgen Inc.,3.06,162956345344,8904750080,535177984,304.49,18.299934628615652,0.00234
PFE,"Pfizer, Inc.",-1.22,158607671296,5684125184,5646410240,28.09,27.903619027965448,0.00039
VZ,Verizon Communications Inc.,31.73,163707650048,17845874688,4204100096,38.94,9.173417420011415,0.00029
QCOM,QUALCOMM Incorporated,2.31,161707753472,9816500224,1112999936,145.29,16.473056283958172,0.00105
TXN,Texas Instruments Incorporated,2.31,151588339712,-138375008,908204032,166.91,-1095.489259022265,0.00211
DHR,Danaher Corporation,-19.71,167226556416,5195250176,738926976,226.31,32.18835633961971,0.10739
CAT,"Caterpillar, Inc.",1.07,143511060480,5138375168,509084992,281.9,27.929268407362812,0.0016
NOW,"ServiceNow, Inc.",2.61,152962842624,3029750016,205055008,745.96,50.48694874490926,0.00195
IBM,International Business Machines,6.24,152344772608,10812375040,913118976,166.84,14.089852543242895,0.00092
